Title,Author,Cluster,Key_Theory_Concept,Status
The Sovereign Individual,Davidson & Rees-Mogg,Diagnostics,Logic of Violence,Read
The Revolt of the Public,Martin Gurri,Diagnostics,Information Tsunami,Read
Principles: Changing World Order,Ray Dalio,Diagnostics,The Big Cycle,Read
Unqualified Reservations,Mencius Moldbug,Diagnostics,The Cathedral,Read
Seeing Like a State,James C. Scott,Diagnostics,Legibility & Metis,Read
The Art of Not Being Governed,James C. Scott,Diagnostics,Non-State Spaces,Read
The Fourth Turning,Strauss & Howe,Diagnostics,The Saeculum,Read
Where Is My Flying Car?,J. Storrs Hall,Diagnostics,The Great Strangulation,Read
AI Superpowers,Kai-Fu Lee,Diagnostics,The Great Decoupling,Read
North American Guide to Safe Places,Various,Diagnostics,Geo-Arbitrage,Read
The Network State,Balaji Srinivasan,Methodology,Cloud First Land Last,Read
The Truth Machine,Casey & Vigna,Methodology,Cryptographic Truth,Read
Exit Voice and Loyalty,Albert O. Hirschman,Methodology,The Logic of Exit,Read
Human Action,Ludwig von Mises,Methodology,Praxeology,Read
Principles of Economics,Carl Menger,Methodology,Subjective Value,Read
Technological Revolutions,Carlota Perez,Methodology,Installation vs Deployment,Read
New Money for Healthy Communities,Thomas H. Greco Jr.,Methodology,Mutual Credit,Read
New Libertarian Manifesto,Samuel Edward Konkin III,Methodology,Agorism,Read
The Revolution: A Manifesto,Ron Paul,Methodology,Sound Money,Read
Cutting Back City Hall,Robert W. Poole,Methodology,Privatization,Read
How Innovation Works,Matt Ridley,Methodology,Evolution of Tech,Read
The Diamond Age,Neal Stephenson,Methodology,Network Phyles,Read
War and Peace and War,Peter Turchin,Human Element,Asabiya,Read
House of Government,Yuri Slezkine,Human Element,The Swamp,Read
The Selfish Gene,Richard Dawkins,Human Element,Memetics,Read
The Conquest of Violence,Bart de Ligt,Human Element,Nonviolent Revolution,Read
The Pyramid,Leonid Leonov,Human Element,The Hollow Plan,Read
198 Methods of Nonviolent Action,Michael Olschimke,Human Element,Strategic Exit,Read
Gell-Mann Amnesia,Michael Crichton,Human Element,Media Failure,Read
The Great Leveler,Walter Scheidel,Human Element,Inequality Cycles,Read
On the Steppes of Central Asia,Matt Stone,Libertarian Fiction,Frontier Living,Unread
Makers,Cory Doctorow,Libertarian Fiction,Post-Scarcity Build,Unread
Atlas Shrugged,Ayn Rand,Libertarian Fiction,The Strike,Unread
The Moon is a Harsh Mistress,Robert Heinlein,Libertarian Fiction,Lunar Sovereignty,Unread
Snow Crash,Neal Stephenson,Libertarian Fiction,Franchise City-States,Unread
Placeholder 36,TBD,TBD,TBD,Unread
Placeholder 37,TBD,TBD,TBD,Unread
Placeholder 38,TBD,TBD,TBD,Unread
Placeholder 39,TBD,TBD,TBD,Unread
Placeholder 40,TBD,TBD,TBD,Unread
Placeholder 41,TBD,TBD,TBD,Unread
Placeholder 42,TBD,TBD,TBD,Unread
Placeholder 43,TBD,TBD,TBD,Unread
Placeholder 44,TBD,TBD,TBD,Unread
Placeholder 45,TBD,TBD,TBD,Unread
Placeholder 46,TBD,TBD,TBD,Unread
Placeholder 47,TBD,TBD,TBD,Unread
Placeholder 48,TBD,TBD,TBD,Unread
Placeholder 49,TBD,TBD,TBD,Unread
Placeholder 50,TBD,TBD,TBD,Unread
